Name,Time,Date,DataPoint1,DataPoint2
Thomas,1:00:00,6/22/15,24,8
Bob,1:00:00,6/22/15,67,28
Rick,1:00:00,6/22/15,924,87
Thomas,1:01:00,6/22/15,682,67
Bob,1:01:00,6/22/15,660,50
Rick,1:01:00,6/22/15,174,55
Thomas,1:02:00,,804,37
Bob,1:02:00,,26,93
Rick,1:02:00,,796,70
Thomas,1:03:00,,521,9
Bob,1:03:00,,189,72
Rick,1:03:00,,142,22
Thomas,1:04:00,,413,10
Bob,1:04:00,,227,61
Rick,1:04:00,,186,23
Thomas,1:05:00,,256,12
Bob,1:05:00,,829,76
Rick,1:05:00,,360,8
Thomas,1:06:00,,819,33
Bob,1:06:00,,803,38
Rick,1:06:00,,85,74
Thomas,1:07:00,,290,29
Bob,1:07:00,,639,94
Rick,1:07:00,,858,16
Thomas,1:08:00,,367,58
Bob,1:08:00,,867,99
Rick,1:08:00,,224,51
Thomas,1:09:00,,342,69
Bob,1:09:00,,836,91
Rick,1:09:00,,752,51
Thomas,1:10:00,,934,99
Bob,1:10:00,,967,15
Rick,1:10:00,,58,18
Thomas,,,300,1
Bob,,,871,87
Rick,,,851,83
Thomas,,,490,46
Bob,,,51,77
Rick,,,761,90
Thomas,,,739,95
Bob,,,577,98
Rick,,,677,1
Thomas,,,717,59
Bob,,,566,21
Rick,,,784,32
Thomas,,,841,17
Bob,,,216,97
Rick,,,116,77
Thomas,,,924,53
Bob,,,667,80
Rick,,,522,56
Thomas,,,641,32
Bob,,,901,81
Rick,,,384,6
Thomas,,,937,3
Bob,,,14,73
Rick,,,637,32
Thomas,,,266,44
Bob,,,921,30
Rick,,,836,87
Thomas,,,791,67
Bob,,,149,34
Rick,,,878,38
Thomas,,,459,91
Bob,,,322,55
Rick,,,551,45
Thomas,,,829,63
Bob,,,41,88
Rick,,,700,38
Thomas,,,870,14
Bob,,,608,24
Rick,,,714,93
Thomas,,,241,16
Bob,,,24,99
Rick,,,495,95
Thomas,,,967,69
Bob,,,532,11
Rick,,,131,6
Thomas,,,421,86
Bob,,,506,15
Rick,,,983,39
Thomas,,,691,29
Bob,,,960,18
Rick,,,389,97
Thomas,,,645,9
Bob,,,536,3
Rick,,,910,95
Thomas,,,703,23
Bob,,,225,36
Rick,,,255,77
Thomas,,,659,60
Bob,,,179,8
Rick,,,68,98
Thomas,,,176,84
Bob,,,52,68
Rick,,,619,39
Thomas,,,488,58
Bob,,,511,91
Rick,,,958,73
Thomas,,,623,82
Bob,,,170,41
Rick,,,575,27
Thomas,,,447,49
Bob,,,181,96
Rick,,,552,76
Thomas,,,254,59
Bob,,,362,43
Rick,,,433,32
Thomas,,,675,62
Bob,,,935,24
Rick,,,700,32
Thomas,,,164,14
Bob,,,464,22
Rick,,,899,84
Thomas,,,544,69
Bob,,,295,18
Rick,,,948,73
Thomas,,,540,64
Bob,,,156,21
Rick,,,605,80
Thomas,,,190,60
Bob,,,528,78
Rick,,,701,53
Thomas,,,334,67
Bob,,,358,40
Rick,,,6,13
Thomas,,,506,15
Bob,,,528,72
Rick,,,99,35
Thomas,,,72,75
Bob,,,589,41
Rick,,,439,7
Thomas,,,449,57
Bob,,,513,3
Rick,,,739,7
Thomas,,,467,87
Bob,,,225,88
Rick,,,23,10
Thomas,,,494,52
Bob,,,236,17
Rick,,,919,59
Thomas,,,111,17
Bob,,,588,10
Rick,,,191,97
Thomas,,,746,41
Bob,,,580,40
Rick,,,583,87
Thomas,,,585,54
Bob,,,427,14
Rick,,,23,98
Thomas,,,60,43
Bob,,,659,25
Rick,,,509,57
Thomas,,,986,88
Bob,,,527,54
Rick,,,224,10
Thomas,,,180,33
Bob,,,8,8
Rick,,,11,55
Thomas,,,128,87
Bob,,,23,72
Rick,,,317,10
Thomas,,,296,94
Bob,,,626,34
Rick,,,593,66
Thomas,,,407,68
Bob,,,431,51
Rick,,,713,97
Thomas,,,188,31
Bob,,,524,19
Rick,,,247,96
Thomas,,,211,90
Bob,,,816,69
Rick,,,855,51
Thomas,,,513,75
Bob,,,424,66
Rick,,,132,50
Thomas,,,847,66
Bob,,,707,97
Rick,,,269,97
Thomas,,,756,67
Bob,,,358,13
Rick,,,974,18
Thomas,,,598,6
Bob,,,630,34
Rick,,,450,42
Thomas,,,195,20
Bob,,,888,56
Rick,,,77,32
Thomas,,,287,15
Bob,,,921,12
Rick,,,159,39
Thomas,,,515,59
Bob,,,521,87
Rick,,,708,9
Thomas,,,496,14
Bob,,,244,30
Rick,,,514,71
Thomas,,,451,26
Bob,,,946,26
Rick,,,484,90
Thomas,,,916,58
Bob,,,160,48
Rick,,,805,57
Thomas,,,996,99
Bob,,,233,20
Rick,,,385,55
Thomas,,,608,96
Bob,,,783,58
Rick,,,825,7
Thomas,,,873,43
Bob,,,293,42
Rick,,,947,69
Thomas,,,346,47
Bob,,,868,65
Rick,,,584,18
Thomas,,,417,97
Bob,,,451,83
Rick,,,214,34
Thomas,,,446,80
Bob,,,685,26
Rick,,,634,77
Thomas,,,505,17
Bob,,,496,11
Rick,,,875,8
Thomas,,,106,41
Bob,,,930,36
Rick,,,828,34
Thomas,,,937,38
Bob,,,611,71
Rick,,,713,6
Thomas,,,577,60
Bob,,,563,56
Rick,,,829,65
Thomas,,,979,84
Bob,,,427,52
Rick,,,701,99
Thomas,,,640,99
Bob,,,871,84
Rick,,,620,62
Thomas,,,936,44
Bob,,,671,44
Rick,,,588,7
Thomas,,,321,21
Bob,,,368,42
Rick,,,637,69
Thomas,,,500,31
Bob,,,695,31
Rick,,,311,35
Thomas,,,20,80
Bob,,,689,70
Rick,,,586,20
Thomas,,,568,68
Bob,,,301,98
Rick,,,219,69
Thomas,,,520,15
Bob,,,1000,93
Rick,,,782,62
Thomas,,,985,74
Bob,,,934,55
Rick,,,729,55
