Area,Year,Deaths
New England,2014,517
"Boston, MA",2014,108
"Bridgeport, CT",2014,42
"Cambridge, MA",2014,19
"Fall River, MA",2014,20
"Hartford, CT",2014,45
"Lowell, MA",2014,26
"Lynn, MA",2014,3
"New Bedford, MA",2014,25
"New Haven, CT",2014,34
"Providence, RI",2014,52
"Somerville, MA",2014,2
"Springfield, MA",2014,32
"Waterbury, CT",2014,31
"Worcester, MA",2014,78
Mid. Atlantic,2014,2026
"Albany, NY",2014,49
"Allentown, PA",2014,24
"Buffalo, NY",2014,167
"Camden, NJ",2014,22
"Elizabeth, NJ",2014,22
"Erie, PA",2014,34
"Jersey City, NJ",2014,21
"New York City, NY",2014,1073
"Newark, NJ",2014,53
"Paterson, NJ",2014,17
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,63
"Reading, PA",2014,43
"Rochester, NY",2014,153
"Schenectady, NY",2014,28
"Scranton, PA",2014,36
"Syracuse, NY",2014,150
"Trenton, NJ",2014,44
"Utica, NY",2014,10
"Yonkers, NY",2014,17
E.N. Central,2014,1453
"Akron, OH",2014,42
"Canton, OH",2014,28
"Chicago, IL",2014,63
"Cincinnati, OH",2014,64
"Cleveland, OH",2014,217
"Columbus, OH",2014,160
"Dayton, OH",2014,116
"Detroit, MI",2014,
"Evansville, IN",2014,51
"Fort Wayne, IN",2014,75
"Gary, IN",2014,6
"Grand Rapids, MI",2014,55
"Indianapolis, IN",2014,159
"Lansing, MI",2014,31
"Milwaukee, WI",2014,89
"Peoria, IL",2014,56
"Rockford, IL",2014,74
"South Bend, IN",2014,27
"Toledo, OH",2014,82
"Youngstown, OH",2014,58
W.N. Central,2014,543
"Des Moines, IA",2014,59
"Duluth, MN",2014,26
"Kansas City, KS",2014,24
"Kansas City, MO",2014,72
"Lincoln, NC",2014,43
"Minneapolis, MN",2014,55
"Omaha, NE",2014,67
"St. Louis, MO",2014,61
"St. Paul, MN",2014,66
"Wichita, KS",2014,70
S. Atlantic,2014,966
"Atlanta, GA",2014,114
"Baltimore, MD",2014,73
"Charlotte, NC",2014,136
"Jacksonville, FL",2014,173
"Miami, FL",2014,53
"Norfolk, VA",2014,63
"Richmond, VA",2014,42
"Savannah, GA",2014,41
"St. Petersburg, FL",2014,57
"Tampa, FL",2014,103
"Washington, D.C.",2014,99
"Wilmington, DE",2014,12
E.S. Central,2014,753
"Birmingham, AL",2014,153
"Chattanooga, TN",2014,70
"Knoxville, TN",2014,73
"Lexington, KY",2014,40
"Memphis, TN",2014,147
"Mobile, AL",2014,84
"Montgomery, AL",2014,41
"Nashville, TN",2014,145
W.S. Central,2014,1267
"Austin, TX",2014,104
"Baton Rouge, LA",2014,87
"Corpus Christi, TX",2014,53
"Dallas, TX",2014,223
"El Paso, TX",2014,46
"Fort Worth, TX",2014,
"Houston, TX",2014,538
"Little Rock, AR",2014,64
"New Orleans, LA",2014,33
"San Antonio, TX",2014,25
"Shreveport, LA",2014,43
"Tulsa, OK",2014,51
Mountain,2014,1135
"Albuquerque, NM",2014,104
