StateCode,State,Poverty
01,AL,18.9
02,AK,10.1
04,AZ,18.6
05,AR,19.4
06,CA,16.8
08,CO,12.9
09,CT,10.7
10,DE,12.9
11,DC,18.8
12,FL,17.1
13,GA,19.0
15,HI,11.2
16,ID,15.6
17,IL,14.6
18,IN,15.8
19,IA,12.6
20,KS,13.9
21,KY,18.8
22,LA,20.0
23,ME,14.0
24,MD,10.2
25,MA,11.9
26,MI,17.0
27,MN,11.2
28,MS,23.9
29,MO,15.8
30,MT,16.1
31,NE,12.9
32,NV,15.8
33,NH,9.0
34,NJ,11.4
35,NM,21.4
36,NY,16.0
37,NC,17.8
38,ND,11.6
39,OH,15.9
40,OK,16.7
41,OR,16.5
42,PA,13.7
44,RI,14.7
45,SC,18.5
46,SD,14.0
47,TN,17.8
48,TX,17.5
49,UT,12.6
50,VT,12.3
51,VA,11.7
53,WA,14.1
54,WV,18.4
55,WI,13.5
56,WY,10.9
