Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
New England,2014,1,517,,373,,108,,23,,5,,8,,36,,,
"Boston, MA",2014,1,108,,77,,18,,7,,2,,4,,6,,"Boston, MA
(42.35866170200046, -71.05673887699965)",
"Bridgeport, CT",2014,1,42,,28,,12,,2,,,-,,-,2,,"Bridgeport, CT
(41.1818843100005, -73.19126911399962)",
"Cambridge, MA",2014,1,19,,17,,1,,1,,,-,,-,,-,"Cambridge, MA
(42.36679009800048, -71.10600946299962)",
"Fall River, MA",2014,1,20,,17,,3,,,-,,-,,-,4,,"Fall River, MA
(41.697354146000464, -71.14364572399967)",
"Hartford, CT",2014,1,45,,40,,4,,1,,,-,,-,3,,"Hartford, CT
(41.763493388000484, -72.67401728199962)",
"Lowell, MA",2014,1,26,,18,,7,,1,,,-,,-,3,,"Lowell, MA
(42.64588438700048, -71.31283694999962)",
"Lynn, MA",2014,1,3,,3,,,-,,-,,-,,-,,-,"Lynn, MA
(42.463701125000455, -70.95021669199963)",
"New Bedford, MA",2014,1,25,,16,,7,,2,,,-,,-,2,,"New Bedford, MA
(41.637672961000476, -70.93086932199964)",
"New Haven, CT",2014,1,34,,19,,11,,2,,1,,1,,,-,"New Haven, CT
(41.307624346000466, -72.92461752399964)",
"Providence, RI",2014,1,52,,38,,11,,1,,,-,2,,1,,"Providence, RI
(41.82387129300048, -71.41198998599964)",
"Somerville, MA",2014,1,2,,,-,2,,,-,,-,,-,,-,"Somerville, MA
(42.38668233800047, -71.09825622299962)",
"Springfield, MA",2014,1,32,,23,,7,,2,,,-,,-,1,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Waterbury, CT",2014,1,31,,24,,5,,1,,1,,,-,3,,"Waterbury, CT
(41.55407106600046, -73.04616830899965)",
"Worcester, MA",2014,1,78,,53,,20,,3,,1,,1,,11,,"Worcester, MA
(42.26341208400049, -71.80218873199965)",
Mid. Atlantic,2014,1,2026,,1411,,455,,110,,34,,15,,118,,,
"Albany, NY",2014,1,49,,35,,13,,,-,1,,,-,4,,"Albany, NY
(42.65155193300046, -73.75520562899965)",
"Allentown, PA",2014,1,24,,20,,3,,1,,,-,,-,1,,"Allentown, PA
(40.6026020970005, -75.47025702899964)",
"Buffalo, NY",2014,1,167,,113,,41,,9,,1,,3,,18,,"Buffalo, NY
(42.88544430100046, -78.87845781999965)",
"Camden, NJ",2014,1,22,,13,,7,,1,,,-,1,,3,,"Camden, NJ
(39.94525155200046, -75.11912817799964)",
"Elizabeth, NJ",2014,1,22,,12,,10,,,-,,-,,-,1,,"Elizabeth, NJ
(40.66351147400047, -74.21145875999963)",
"Erie, PA",2014,1,34,,27,,5,,,-,1,,1,,,-,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Jersey City, NJ",2014,1,21,,18,,2,,1,,,-,,-,,-,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"New York City, NY",2014,1,1073,,728,,252,,68,,16,,8,,54,,"New York City, NY
(40.71455065700047, -74.00711891899965)",
"Newark, NJ",2014,1,53,,25,,18,,5,,5,,,-,3,,"Newark, NJ
(40.73197311400048, -74.17420658799966)",
"Paterson, NJ",2014,1,17,,11,,5,,,-,1,,,-,1,,"Paterson, NJ
(40.916612760000476, -74.17163854999967)",
"Philadelphia, PA",2014,1,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228127500047, -75.16244984999963)",
"Pittsburgh, PA§",2014,1,63,,49,,12,,2,,,-,,-,9,,"Pittsburgh, PA
(40.43834150200047, -79.99746553899968)",
"Reading, PA",2014,1,43,,36,,4,,3,,,-,,-,1,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"Rochester, NY",2014,1,153,,111,,31,,10,,1,,,-,10,,"Rochester, NY
(43.15580279700049, -77.61631886899966)",
"Schenectady, NY",2014,1,28,,20,,7,,,-,1,,,-,4,,"Schenectady, NY
(42.8122530060005, -73.94101987199963)",
"Scranton, PA",2014,1,36,,29,,7,,,-,,-,,-,1,,"Scranton, PA
(41.41015379200047, -75.66077859599966)",
"Syracuse, NY",2014,1,150,,120,,21,,5,,4,,,-,7,,"Syracuse, NY
(43.0499907300005, -76.14738815999965)",
"Trenton, NJ",2014,1,44,,23,,14,,3,,3,,1,,,-,"Trenton, NJ
(40.217883319000464, -74.75939751899966)",
"Utica, NY",2014,1,10,,8,,2,,,-,,-,,-,,-,"Utica, NY
(43.09589383800045, -75.24257707799967)",
"Yonkers, NY",2014,1,17,,13,,1,,2,,,-,1,,1,,"Yonkers, NY
(40.93299013900048, -73.89873881399967)",
E.N. Central,2014,1,1453,,983,,330,,94,,27,,19,,89,,,
"Akron, OH",2014,1,42,,27,,11,,2,,2,,,-,5,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Canton, OH",2014,1,28,,21,,7,,,-,,-,,-,2,,"Canton, OH
(40.79781312300048, -81.37156644799967)",
"Chicago, IL",2014,1,63,,47,,11,,2,,3,,,-,6,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Cincinnati, OH",2014,1,64,,37,,17,,6,,3,,1,,2,,"Cincinnati, OH
(39.10713351400045, -84.50412975199964)",
"Cleveland, OH",2014,1,217,,152,,43,,19,,3,,,-,19,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Columbus, OH",2014,1,160,,95,,48,,12,,2,,3,,9,,"Columbus, OH
(39.96199068800047, -83.00274798399965)",
"Dayton, OH",2014,1,116,,84,,19,,5,,4,,4,,8,,"Dayton, OH
(39.75911127900048, -84.19443785699968)",
"Detroit, MI",2014,1,,-,,-,,-,,-,,-,,-,,-,"Detroit, MI
(42.331681680000486, -83.04799903299966)",
"Evansville, IN",2014,1,51,,35,,13,,3,,,-,,-,3,,"Evansville, IN
(37.97708100100044, -87.56404663099966)",
"Fort Wayne, IN",2014,1,75,,52,,20,,3,,,-,,-,4,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Gary, IN",2014,1,6,,3,,2,,1,,,-,,-,,-,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Grand Rapids, MI",2014,1,55,,34,,14,,3,,2,,2,,3,,"Grand Rapids, MI
(42.966411166000455, -85.67117986599965)",
"Indianapolis, IN",2014,1,159,,100,,44,,9,,5,,1,,8,,"Indianapolis, IN
(39.76691364600049, -86.14995579899966)",
"Lansing, MI",2014,1,31,,23,,7,,1,,,-,,-,1,,"Lansing, MI
(42.731942666000464, -84.55224806999968)",
"Milwaukee, WI",2014,1,89,,55,,18,,14,,,-,2,,4,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Peoria, IL",2014,1,56,,41,,12,,3,,,-,,-,2,,"Peoria, IL
(40.69214397400049, -89.58775824399964)",
"Rockford, IL",2014,1,74,,53,,12,,7,,1,,1,,3,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"South Bend, IN",2014,1,27,,22,,2,,1,,,-,2,,2,,"South Bend, IN
(41.679051856000456, -86.25403946499966)",
"Toledo, OH",2014,1,82,,56,,19,,2,,2,,3,,6,,"Toledo, OH
(41.65381363300048, -83.53625660699964)",
"Youngstown, OH",2014,1,58,,46,,11,,1,,,-,,-,2,,"Youngstown, OH
(41.09810376900049, -80.65078761499967)",
W.N. Central,2014,1,543,,354,,131,,32,,11,,15,,51,,,
"Des Moines, IA",2014,1,59,,40,,16,,2,,1,,,-,9,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Duluth, MN",2014,1,26,,20,,6,,,-,,-,,-,2,,"Duluth, MN
(46.787958768000465, -92.09984801699966)",
"Kansas City, KS",2014,1,24,,12,,7,,3,,,-,2,,3,,"Kansas City, KS
(39.11352011100047, -94.6268190079997)",
"Kansas City, MO",2014,1,72,,47,,17,,4,,1,,3,,6,,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",
"Lincoln, NC",2014,1,43,,32,,10,,,-,,-,1,,3,,"Lincoln, NC
(35.568614881000485, -81.50048638499965)",
"Minneapolis, MN",2014,1,55,,38,,10,,6,,,-,1,,5,,"Minneapolis, MN
(44.97902885900049, -93.26492855899966)",
"Omaha, NE",2014,1,67,,45,,11,,6,,5,,,-,8,,"Omaha, NE
(41.2606940230005, -95.94058667399969)",
"St. Louis, MO",2014,1,61,,30,,20,,6,,2,,3,,3,,"St. Louis, MO
(38.62775018400049, -90.19955850799965)",
"St. Paul, MN",2014,1,66,,43,,16,,3,,,-,4,,9,,"St. Paul, MN
(44.9438177180005, -93.09331667699968)",
"Wichita, KS",2014,1,70,,47,,18,,2,,2,,1,,3,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
S. Atlantic,2014,1,966,,610,,252,,66,,14,,24,,73,,,
"Atlanta, GA",2014,1,114,,64,,35,,7,,5,,3,,7,,"Atlanta, GA
(33.748314149000464, -84.39110931499965)",
"Baltimore, MD",2014,1,73,,36,,28,,6,,,-,3,,7,,"Baltimore, MD
(39.2905806980005, -76.60925970899967)",
"Charlotte, NC",2014,1,136,,82,,33,,14,,2,,5,,5,,"Charlotte, NC
(35.22286327700044, -80.83795956899968)",
"Jacksonville, FL",2014,1,173,,121,,41,,4,,2,,5,,14,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Miami, FL",2014,1,53,,40,,7,,5,,1,,,-,1,,"Miami, FL
(25.77481304000048, -80.19772778299966)",
"Norfolk, VA",2014,1,63,,37,,20,,4,,2,,,-,2,,"Norfolk, VA
(36.84682304600045, -76.28505728799968)",
"Richmond, VA",2014,1,42,,31,,7,,3,,,-,1,,,-,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Savannah, GA",2014,1,41,,24,,11,,4,,,-,2,,3,,"Savannah, GA
(32.080912122000484, -81.09118590699967)",
"St. Petersburg, FL",2014,1,57,,35,,17,,2,,,-,3,,7,,"St. Petersburg, FL
(27.771191804000466, -82.63875661699967)",
