,Name,Time,Date,DataPoint1,DataPoint2,Moving_Avg,Noise,Average100
0,Thomas,1:00:00,6/22/15,57.0,57,,,57.0
1,Thomas,1:00:00,6/22/15,89.0,89,,,73.0
2,Thomas,1:00:00,6/22/15,79.0,79,,,75.0
3,Thomas,1:01:00,6/22/15,84.0,84,,,77.25
4,Thomas,1:01:00,6/22/15,30.0,30,,,67.8
5,Thomas,1:01:00,6/22/15,83.0,83,,,70.3333333333
6,Thomas,1:02:00,6/22/15,63.0,63,,,69.2857142857
7,Thomas,1:02:00,6/22/15,50.0,50,,,66.875
8,Thomas,1:02:00,6/22/15,72.0,72,,,67.4444444444
9,Thomas,1:03:00,6/22/15,54.0,54,,,66.1
10,Thomas,1:03:00,6/22/15,40.0,40,,,63.7272727273
11,Thomas,1:03:00,6/22/15,36.0,36,,,61.4166666667
12,Thomas,1:04:00,6/22/15,22.0,22,,,58.3846153846
13,Thomas,1:04:00,6/22/15,20.0,20,,,55.6428571429
14,Thomas,1:04:00,6/22/15,100.0,100,,,58.6
15,Thomas,1:05:00,6/22/15,80.0,80,,,59.9375
16,Thomas,1:05:00,6/22/15,66.0,66,,,60.2941176471
17,Thomas,1:05:00,6/22/15,59.0,59,,,60.2222222222
18,Thomas,1:06:00,6/22/15,8.0,8,,,57.4736842105
19,Thomas,1:06:00,6/22/15,63.0,63,,,57.75
20,Thomas,1:06:00,6/22/15,31.0,31,,,56.4761904762
21,Thomas,1:07:00,6/22/15,71.0,71,,,57.1363636364
22,Thomas,1:07:00,6/22/15,39.0,39,,,56.347826087
23,Thomas,1:07:00,6/22/15,19.0,19,,,54.7916666667
24,Thomas,1:08:00,6/22/15,42.0,42,,,54.28
25,Thomas,1:08:00,6/22/15,20.0,20,,,52.9615384615
26,Thomas,1:08:00,6/22/15,3.0,3,,,51.1111111111
27,Thomas,1:09:00,6/22/15,13.0,13,,,49.75
28,Thomas,1:09:00,6/22/15,95.0,95,,,51.3103448276
29,Thomas,1:09:00,6/22/15,14.0,14,,,50.0666666667
30,Thomas,1:10:00,6/22/15,61.0,61,,,50.4193548387
31,Thomas,1:10:00,6/22/15,7.0,7,,,49.0625
32,Thomas,1:10:00,6/22/15,69.0,69,,,49.6666666667
33,Thomas,1:11:00,6/22/15,52.0,52,,,49.7352941176
34,Thomas,1:11:00,6/22/15,73.0,73,,,50.4
35,Thomas,1:11:00,6/22/15,34.0,34,,,49.9444444444
36,Thomas,1:12:00,6/22/15,15.0,15,,,49.0
37,Thomas,1:12:00,6/22/15,71.0,71,,,49.5789473684
38,Thomas,1:12:00,6/22/15,3.0,3,,,48.3846153846
39,Thomas,1:13:00,6/22/15,5.0,5,,,47.3
40,Thomas,1:13:00,6/22/15,62.0,62,,,47.6585365854
41,Thomas,1:13:00,6/22/15,16.0,16,,,46.9047619048
42,Thomas,1:14:00,6/22/15,59.0,59,,,47.1860465116
43,Thomas,1:14:00,6/22/15,59.0,59,,,47.4545454545
44,Thomas,1:14:00,6/22/15,96.0,96,,,48.5333333333
45,Thomas,1:15:00,6/22/15,33.0,33,,,48.1956521739
46,Thomas,1:15:00,6/22/15,40.0,40,,,48.0212765957
47,Thomas,1:15:00,6/22/15,64.0,64,,,48.3541666667
48,Thomas,1:16:00,6/22/15,32.0,32,,,48.0204081633
49,Thomas,1:16:00,6/22/15,31.0,31,47.68,-16.68,47.68
50,Thomas,1:16:00,6/22/15,81.0,81,48.3333333333,32.6666666667,48.3333333333
51,Thomas,1:17:00,6/22/15,63.0,63,48.6153846154,14.3846153846,48.6153846154
52,Thomas,1:17:00,6/22/15,98.0,98,49.5471698113,48.4528301887,49.5471698113
53,Thomas,1:17:00,6/22/15,14.0,14,48.8888888889,-34.8888888889,48.8888888889
54,Thomas,1:18:00,6/22/15,27.0,27,48.4909090909,-21.4909090909,48.4909090909
55,Thomas,1:18:00,6/22/15,25.0,25,48.0714285714,-23.0714285714,48.0714285714
56,Thomas,1:18:00,6/22/15,70.0,70,48.4561403509,21.5438596491,48.4561403509
57,Thomas,1:19:00,6/22/15,77.0,77,48.9482758621,28.0517241379,48.9482758621
58,Thomas,1:19:00,6/22/15,98.0,98,49.7796610169,48.2203389831,49.7796610169
59,Thomas,1:19:00,6/22/15,51.0,51,49.8,1.2,49.8
60,Thomas,1:20:00,6/22/15,30.0,30,49.4754098361,-19.4754098361,49.4754098361
61,Thomas,1:20:00,6/22/15,5.0,5,48.7580645161,-43.7580645161,48.7580645161
